Model,Features,Feature,Importance
RandomForest,A_length_only,password_length,1.0
RandomForest,B_basic_composition,password_length,0.45101636522275734
RandomForest,B_basic_composition,lowercase_count,0.03677322368608746
RandomForest,B_basic_composition,uppercase_count,0.09685657727245876
RandomForest,B_basic_composition,digit_count,0.04155436619282136
RandomForest,B_basic_composition,special_count,0.0059972161268199075
RandomForest,B_basic_composition,alphabetic_count,0.0725423494444834
RandomForest,B_basic_composition,unique_character_count,0.11860775967717663
RandomForest,B_basic_composition,digit_ratio,0.03349934990897982
RandomForest,B_basic_composition,uppercase_ratio,0.10435430112662626
RandomForest,B_basic_composition,lowercase_ratio,0.03184439341002761
RandomForest,B_basic_composition,special_ratio,0.0069540979317613905
RandomForest,C_security_pattern,password_length,0.4009039188258503
RandomForest,C_security_pattern,lowercase_count,0.038215698377344044
RandomForest,C_security_pattern,uppercase_count,0.07051783216841738
RandomForest,C_security_pattern,digit_count,0.03238855475012269
RandomForest,C_security_pattern,special_count,0.003779009677710705
RandomForest,C_security_pattern,alphabetic_count,0.07331899746820546
RandomForest,C_security_pattern,unique_character_count,0.08687256147079608
RandomForest,C_security_pattern,digit_ratio,0.03243261968857454
RandomForest,C_security_pattern,uppercase_ratio,0.05421299809161741
RandomForest,C_security_pattern,lowercase_ratio,0.031229268208115824
RandomForest,C_security_pattern,special_ratio,0.0021077150584424024
RandomForest,C_security_pattern,repeated_character_count,0.009415244815285918
RandomForest,C_security_pattern,maximum_repeated_run,0.0003643805038241283
RandomForest,C_security_pattern,number_of_character_type_changes,0.012636517028168063
RandomForest,C_security_pattern,has_sequential_digits,0.000769381794253607
RandomForest,C_security_pattern,has_sequential_letters,5.934126327546362e-06
RandomForest,C_security_pattern,has_repeated_block,0.00015297681569136328
RandomForest,C_security_pattern,character_diversity_ratio,0.011139152199916066
RandomForest,C_security_pattern,number_of_unique_character_types,0.13953723893133654
